S00.00XA@Unspecified superficial injury of scalp, initial encounter
S00.00XD@Unspecified superficial injury of scalp, subs encntr
S00.00XS@Unspecified superficial injury of scalp, sequela
S00.01XA@Abrasion of scalp, initial encounter
S00.01XD@Abrasion of scalp, subsequent encounter
S00.01XS@Abrasion of scalp, sequela
S00.02XA@Blister (nonthermal) of scalp, initial encounter
S00.02XD@Blister (nonthermal) of scalp, subsequent encounter
S00.02XS@Blister (nonthermal) of scalp, sequela
S00.03XA@Contusion of scalp, initial encounter
S00.03XD@Contusion of scalp, subsequent encounter
S00.03XS@Contusion of scalp, sequela
S00.04XA@External constriction of part of scalp, initial encounter
S00.04XD@External constriction of part of scalp, subsequent encounter
S00.04XS@External constriction of part of scalp, sequela
S00.05XA@Superficial foreign body of scalp, initial encounter
S00.05XD@Superficial foreign body of scalp, subsequent encounter
S00.05XS@Superficial foreign body of scalp, sequela
S00.06XA@Insect bite (nonvenomous) of scalp, initial encounter
S00.06XD@Insect bite (nonvenomous) of scalp, subsequent encounter
S00.06XS@Insect bite (nonvenomous) of scalp, sequela
S00.07XA@Other superficial bite of scalp, initial encounter
S00.07XD@Other superficial bite of scalp, subsequent encounter
S00.07XS@Other superficial bite of scalp, sequela
S00.10XA@Contusion of unsp eyelid and periocular area, init encntr
S00.10XD@Contusion of unsp eyelid and periocular area, subs encntr
S00.10XS@Contusion of unspecified eyelid and periocular area, sequela
S00.11XA@Contusion of right eyelid and periocular area, init encntr
S00.11XD@Contusion of right eyelid and periocular area, subs encntr
S00.11XS@Contusion of right eyelid and periocular area, sequela
S00.12XA@Contusion of left eyelid and periocular area, init encntr
S00.12XD@Contusion of left eyelid and periocular area, subs encntr
S00.12XS@Contusion of left eyelid and periocular area, sequela
S00.201A@Unsp superfic inj right eyelid and perioculr area, init
S00.201D@Unsp superfic inj right eyelid and perioculr area, subs
S00.201S@Unsp superfic inj right eyelid and perioculr area, sequela
S00.202A@Unsp superfic injury of left eyelid and perioculr area, init
S00.202D@Unsp superfic injury of left eyelid and perioculr area, subs
S00.202S@Unsp superfic inj left eyelid and perioculr area, sequela
S00.209A@Unsp superfic injury of unsp eyelid and perioculr area, init
S00.209D@Unsp superfic injury of unsp eyelid and perioculr area, subs
S00.209S@Unsp superfic inj unsp eyelid and perioculr area, sequela
S00.211A@Abrasion of right eyelid and periocular area, init encntr
S00.211D@Abrasion of right eyelid and periocular area, subs encntr
S00.211S@Abrasion of right eyelid and periocular area, sequela
S00.212A@Abrasion of left eyelid and periocular area, init encntr
S00.212D@Abrasion of left eyelid and periocular area, subs encntr
S00.212S@Abrasion of left eyelid and periocular area, sequela
S00.219A@Abrasion of unsp eyelid and periocular area, init encntr
S00.219D@Abrasion of unsp eyelid and periocular area, subs encntr
S00.219S@Abrasion of unspecified eyelid and periocular area, sequela
S00.221A@Blister of right eyelid and periocular area, init
S00.221D@Blister of right eyelid and periocular area, subs
S00.221S@Blister of right eyelid and periocular area, sequela
S00.222A@Blister of left eyelid and periocular area, init
S00.222D@Blister of left eyelid and periocular area, subs
S00.222S@Blister of left eyelid and periocular area, sequela
S00.229A@Blister of unsp eyelid and periocular area, init
S00.229D@Blister of unsp eyelid and periocular area, subs
S00.229S@Blister of unsp eyelid and periocular area, sequela
S00.241A@External constrict of right eyelid and periocular area, init
S00.241D@External constrict of right eyelid and periocular area, subs
S00.241S@Extrn constrict of right eyelid and perioculr area, sequela
S00.242A@External constrict of left eyelid and periocular area, init
S00.242D@External constrict of left eyelid and periocular area, subs
S00.242S@Extrn constrict of left eyelid and perioculr area, sequela
S00.249A@External constrict of unsp eyelid and periocular area, init
S00.249D@External constrict of unsp eyelid and periocular area, subs
S00.249S@Extrn constrict of unsp eyelid and perioculr area, sequela
S00.251A@Superficial fb of right eyelid and periocular area, init
S00.251D@Superficial fb of right eyelid and periocular area, subs
S00.251S@Superficial fb of right eyelid and periocular area, sequela
S00.252A@Superficial fb of left eyelid and periocular area, init
S00.252D@Superficial fb of left eyelid and periocular area, subs
S00.252S@Superficial fb of left eyelid and periocular area, sequela
S00.259A@Superficial fb of unsp eyelid and periocular area, init
S00.259D@Superficial fb of unsp eyelid and periocular area, subs
S00.259S@Superficial fb of unsp eyelid and periocular area, sequela
S00.261A@Insect bite of right eyelid and periocular area, init
S00.261D@Insect bite of right eyelid and periocular area, subs
S00.261S@Insect bite of right eyelid and periocular area, sequela
S00.262A@Insect bite of left eyelid and periocular area, init
S00.262D@Insect bite of left eyelid and periocular area, subs
S00.262S@Insect bite of left eyelid and periocular area, sequela
S00.269A@Insect bite of unsp eyelid and periocular area, init
S00.269D@Insect bite of unsp eyelid and periocular area, subs
S00.269S@Insect bite of unsp eyelid and periocular area, sequela
S00.271A@Oth superfic bite of right eyelid and periocular area, init
S00.271D@Oth superfic bite of right eyelid and periocular area, subs
S00.271S@Oth superfic bite of right eyelid and perioculr area, sqla
S00.272A@Oth superfic bite of left eyelid and periocular area, init
S00.272D@Oth superfic bite of left eyelid and periocular area, subs
S00.272S@Oth superfic bite of left eyelid and perioculr area, sequela
S00.279A@Oth superfic bite of unsp eyelid and periocular area, init
S00.279D@Oth superfic bite of unsp eyelid and periocular area, subs
S00.279S@Oth superfic bite of unsp eyelid and perioculr area, sequela
S00.30XA@Unspecified superficial injury of nose, initial encounter
S00.30XD@Unspecified superficial injury of nose, subsequent encounter
S00.30XS@Unspecified superficial injury of nose, sequela
S00.31XA@Abrasion of nose, initial encounter
S00.31XD@Abrasion of nose, subsequent encounter
S00.31XS@Abrasion of nose, sequela
S00.32XA@Blister (nonthermal) of nose, initial encounter
S00.32XD@Blister (nonthermal) of nose, subsequent encounter
S00.32XS@Blister (nonthermal) of nose, sequela
S00.33XA@Contusion of nose, initial encounter
