S10.0XXA@Contusion of throat, initial encounter
S10.0XXD@Contusion of throat, subsequent encounter
S10.0XXS@Contusion of throat, sequela
S10.10XA@Unspecified superficial injuries of throat, init encntr
S10.10XD@Unspecified superficial injuries of throat, subs encntr
S10.10XS@Unspecified superficial injuries of throat, sequela
S10.11XA@Abrasion of throat, initial encounter
S10.11XD@Abrasion of throat, subsequent encounter
S10.11XS@Abrasion of throat, sequela
S10.12XA@Blister (nonthermal) of throat, initial encounter
S10.12XD@Blister (nonthermal) of throat, subsequent encounter
S10.12XS@Blister (nonthermal) of throat, sequela
S10.14XA@External constriction of part of throat, initial encounter
S10.14XD@External constriction of part of throat, subs encntr
S10.14XS@External constriction of part of throat, sequela
S10.15XA@Superficial foreign body of throat, initial encounter
S10.15XD@Superficial foreign body of throat, subsequent encounter
S10.15XS@Superficial foreign body of throat, sequela
S10.16XA@Insect bite (nonvenomous) of throat, initial encounter
S10.16XD@Insect bite (nonvenomous) of throat, subsequent encounter
S10.16XS@Insect bite (nonvenomous) of throat, sequela
S10.17XA@Other superficial bite of throat, initial encounter
S10.17XD@Other superficial bite of throat, subsequent encounter
S10.17XS@Other superficial bite of throat, sequela
S10.80XA@Unsp superficial injury of oth part of neck, init encntr
S10.80XD@Unsp superficial injury of oth part of neck, subs encntr
S10.80XS@Unspecified superficial injury of oth part of neck, sequela
S10.81XA@Abrasion of other specified part of neck, initial encounter
S10.81XD@Abrasion of other specified part of neck, subs encntr
S10.81XS@Abrasion of other specified part of neck, sequela
S10.82XA@Blister (nonthermal) of oth part of neck, init encntr
S10.82XD@Blister (nonthermal) of oth part of neck, subs encntr
S10.82XS@Blister (nonthermal) of oth part of neck, sequela
S10.83XA@Contusion of other specified part of neck, initial encounter
S10.83XD@Contusion of other specified part of neck, subs encntr
S10.83XS@Contusion of other specified part of neck, sequela
S10.84XA@External constriction of oth part of neck, init encntr
S10.84XD@External constriction of oth part of neck, subs encntr
S10.84XS@External constriction of oth part of neck, sequela
S10.85XA@Superficial foreign body of oth part of neck, init encntr
S10.85XD@Superficial foreign body of oth part of neck, subs encntr
S10.85XS@Superficial foreign body of oth part of neck, sequela
S10.86XA@Insect bite of other specified part of neck, init encntr
S10.86XD@Insect bite of other specified part of neck, subs encntr
S10.86XS@Insect bite of other specified part of neck, sequela
S10.87XA@Other superficial bite of oth part of neck, init encntr
S10.87XD@Other superficial bite of oth part of neck, subs encntr
S10.87XS@Other superficial bite of oth part of neck, sequela
S10.90XA@Unsp superficial injury of unsp part of neck, init encntr
S10.90XD@Unsp superficial injury of unsp part of neck, subs encntr
S10.90XS@Unsp superficial injury of unspecified part of neck, sequela
S10.91XA@Abrasion of unspecified part of neck, initial encounter
S10.91XD@Abrasion of unspecified part of neck, subsequent encounter
S10.91XS@Abrasion of unspecified part of neck, sequela
S10.92XA@Blister (nonthermal) of unsp part of neck, init encntr
S10.92XD@Blister (nonthermal) of unsp part of neck, subs encntr
S10.92XS@Blister (nonthermal) of unspecified part of neck, sequela
S10.93XA@Contusion of unspecified part of neck, initial encounter
S10.93XD@Contusion of unspecified part of neck, subsequent encounter
S10.93XS@Contusion of unspecified part of neck, sequela
S10.94XA@External constriction of unsp part of neck, init encntr
S10.94XD@External constriction of unsp part of neck, subs encntr
S10.94XS@External constriction of unspecified part of neck, sequela
S10.95XA@Superficial foreign body of unsp part of neck, init encntr
S10.95XD@Superficial foreign body of unsp part of neck, subs encntr
S10.95XS@Superficial foreign body of unsp part of neck, sequela
S10.96XA@Insect bite of unspecified part of neck, initial encounter
S10.96XD@Insect bite of unspecified part of neck, subs encntr
S10.96XS@Insect bite of unspecified part of neck, sequela
S10.97XA@Other superficial bite of unsp part of neck, init encntr
S10.97XD@Other superficial bite of unsp part of neck, subs encntr
S10.97XS@Other superficial bite of unspecified part of neck, sequela
S11.011A@Laceration without foreign body of larynx, initial encounter
S11.011D@Laceration without foreign body of larynx, subs encntr
S11.011S@Laceration without foreign body of larynx, sequela
S11.012A@Laceration with foreign body of larynx, initial encounter
S11.012D@Laceration with foreign body of larynx, subsequent encounter
S11.012S@Laceration with foreign body of larynx, sequela
S11.013A@Puncture wound without foreign body of larynx, init encntr
S11.013D@Puncture wound without foreign body of larynx, subs encntr
S11.013S@Puncture wound without foreign body of larynx, sequela
S11.014A@Puncture wound with foreign body of larynx, init encntr
S11.014D@Puncture wound with foreign body of larynx, subs encntr
S11.014S@Puncture wound with foreign body of larynx, sequela
S11.015A@Open bite of larynx, initial encounter
S11.015D@Open bite of larynx, subsequent encounter
S11.015S@Open bite of larynx, sequela
S11.019A@Unspecified open wound of larynx, initial encounter
S11.019D@Unspecified open wound of larynx, subsequent encounter
S11.019S@Unspecified open wound of larynx, sequela
S11.021A@Laceration without foreign body of trachea, init encntr
S11.021D@Laceration without foreign body of trachea, subs encntr
S11.021S@Laceration without foreign body of trachea, sequela
S11.022A@Laceration with foreign body of trachea, initial encounter
S11.022D@Laceration with foreign body of trachea, subs encntr
S11.022S@Laceration with foreign body of trachea, sequela
