S40.011A@Contusion of right shoulder, initial encounter
S40.011D@Contusion of right shoulder, subsequent encounter
S40.011S@Contusion of right shoulder, sequela
S40.012A@Contusion of left shoulder, initial encounter
S40.012D@Contusion of left shoulder, subsequent encounter
S40.012S@Contusion of left shoulder, sequela
S40.019A@Contusion of unspecified shoulder, initial encounter
S40.019D@Contusion of unspecified shoulder, subsequent encounter
S40.019S@Contusion of unspecified shoulder, sequela
S40.021A@Contusion of right upper arm, initial encounter
S40.021D@Contusion of right upper arm, subsequent encounter
S40.021S@Contusion of right upper arm, sequela
S40.022A@Contusion of left upper arm, initial encounter
S40.022D@Contusion of left upper arm, subsequent encounter
S40.022S@Contusion of left upper arm, sequela
S40.029A@Contusion of unspecified upper arm, initial encounter
S40.029D@Contusion of unspecified upper arm, subsequent encounter
S40.029S@Contusion of unspecified upper arm, sequela
S40.211A@Abrasion of right shoulder, initial encounter
S40.211D@Abrasion of right shoulder, subsequent encounter
S40.211S@Abrasion of right shoulder, sequela
S40.212A@Abrasion of left shoulder, initial encounter
S40.212D@Abrasion of left shoulder, subsequent encounter
S40.212S@Abrasion of left shoulder, sequela
S40.219A@Abrasion of unspecified shoulder, initial encounter
S40.219D@Abrasion of unspecified shoulder, subsequent encounter
S40.219S@Abrasion of unspecified shoulder, sequela
S40.221A@Blister (nonthermal) of right shoulder, initial encounter
S40.221D@Blister (nonthermal) of right shoulder, subsequent encounter
S40.221S@Blister (nonthermal) of right shoulder, sequela
S40.222A@Blister (nonthermal) of left shoulder, initial encounter
S40.222D@Blister (nonthermal) of left shoulder, subsequent encounter
S40.222S@Blister (nonthermal) of left shoulder, sequela
S40.229A@Blister (nonthermal) of unspecified shoulder, init encntr
S40.229D@Blister (nonthermal) of unspecified shoulder, subs encntr
S40.229S@Blister (nonthermal) of unspecified shoulder, sequela
S40.241A@External constriction of right shoulder, initial encounter
S40.241D@External constriction of right shoulder, subs encntr
S40.241S@External constriction of right shoulder, sequela
S40.242A@External constriction of left shoulder, initial encounter
S40.242D@External constriction of left shoulder, subsequent encounter
S40.242S@External constriction of left shoulder, sequela
S40.249A@External constriction of unspecified shoulder, init encntr
S40.249D@External constriction of unspecified shoulder, subs encntr
S40.249S@External constriction of unspecified shoulder, sequela
S40.251A@Superficial foreign body of right shoulder, init encntr
S40.251D@Superficial foreign body of right shoulder, subs encntr
S40.251S@Superficial foreign body of right shoulder, sequela
S40.252A@Superficial foreign body of left shoulder, initial encounter
S40.252D@Superficial foreign body of left shoulder, subs encntr
S40.252S@Superficial foreign body of left shoulder, sequela
S40.259A@Superficial foreign body of unsp shoulder, init encntr
S40.259D@Superficial foreign body of unsp shoulder, subs encntr
S40.259S@Superficial foreign body of unspecified shoulder, sequela
S40.261A@Insect bite (nonvenomous) of right shoulder, init encntr
S40.261D@Insect bite (nonvenomous) of right shoulder, subs encntr
S40.261S@Insect bite (nonvenomous) of right shoulder, sequela
S40.262A@Insect bite (nonvenomous) of left shoulder, init encntr
S40.262D@Insect bite (nonvenomous) of left shoulder, subs encntr
S40.262S@Insect bite (nonvenomous) of left shoulder, sequela
S40.269A@Insect bite (nonvenomous) of unsp shoulder, init encntr
S40.269D@Insect bite (nonvenomous) of unsp shoulder, subs encntr
S40.269S@Insect bite (nonvenomous) of unspecified shoulder, sequela
S40.271A@Other superficial bite of right shoulder, initial encounter
S40.271D@Other superficial bite of right shoulder, subs encntr
S40.271S@Other superficial bite of right shoulder, sequela
S40.272A@Other superficial bite of left shoulder, initial encounter
S40.272D@Other superficial bite of left shoulder, subs encntr
S40.272S@Other superficial bite of left shoulder, sequela
S40.279A@Other superficial bite of unspecified shoulder, init encntr
S40.279D@Other superficial bite of unspecified shoulder, subs encntr
S40.279S@Other superficial bite of unspecified shoulder, sequela
S40.811A@Abrasion of right upper arm, initial encounter
S40.811D@Abrasion of right upper arm, subsequent encounter
S40.811S@Abrasion of right upper arm, sequela
S40.812A@Abrasion of left upper arm, initial encounter
S40.812D@Abrasion of left upper arm, subsequent encounter
