S50.00XA@Contusion of unspecified elbow, initial encounter
S50.00XD@Contusion of unspecified elbow, subsequent encounter
S50.00XS@Contusion of unspecified elbow, sequela
S50.01XA@Contusion of right elbow, initial encounter
S50.01XD@Contusion of right elbow, subsequent encounter
S50.01XS@Contusion of right elbow, sequela
S50.02XA@Contusion of left elbow, initial encounter
S50.02XD@Contusion of left elbow, subsequent encounter
S50.02XS@Contusion of left elbow, sequela
S50.10XA@Contusion of unspecified forearm, initial encounter
S50.10XD@Contusion of unspecified forearm, subsequent encounter
S50.10XS@Contusion of unspecified forearm, sequela
S50.11XA@Contusion of right forearm, initial encounter
S50.11XD@Contusion of right forearm, subsequent encounter
S50.11XS@Contusion of right forearm, sequela
S50.12XA@Contusion of left forearm, initial encounter
S50.12XD@Contusion of left forearm, subsequent encounter
S50.12XS@Contusion of left forearm, sequela
S50.311A@Abrasion of right elbow, initial encounter
S50.311D@Abrasion of right elbow, subsequent encounter
S50.311S@Abrasion of right elbow, sequela
S50.312A@Abrasion of left elbow, initial encounter
S50.312D@Abrasion of left elbow, subsequent encounter
S50.312S@Abrasion of left elbow, sequela
S50.319A@Abrasion of unspecified elbow, initial encounter
S50.319D@Abrasion of unspecified elbow, subsequent encounter
S50.319S@Abrasion of unspecified elbow, sequela
S50.321A@Blister (nonthermal) of right elbow, initial encounter
S50.321D@Blister (nonthermal) of right elbow, subsequent encounter
S50.321S@Blister (nonthermal) of right elbow, sequela
S50.322A@Blister (nonthermal) of left elbow, initial encounter
S50.322D@Blister (nonthermal) of left elbow, subsequent encounter
S50.322S@Blister (nonthermal) of left elbow, sequela
S50.329A@Blister (nonthermal) of unspecified elbow, initial encounter
S50.329D@Blister (nonthermal) of unspecified elbow, subs encntr
S50.329S@Blister (nonthermal) of unspecified elbow, sequela
S50.341A@External constriction of right elbow, initial encounter
S50.341D@External constriction of right elbow, subsequent encounter
S50.341S@External constriction of right elbow, sequela
S50.342A@External constriction of left elbow, initial encounter
S50.342D@External constriction of left elbow, subsequent encounter
S50.342S@External constriction of left elbow, sequela
S50.349A@External constriction of unspecified elbow, init encntr
S50.349D@External constriction of unspecified elbow, subs encntr
S50.349S@External constriction of unspecified elbow, sequela
S50.351A@Superficial foreign body of right elbow, initial encounter
S50.351D@Superficial foreign body of right elbow, subs encntr
S50.351S@Superficial foreign body of right elbow, sequela
S50.352A@Superficial foreign body of left elbow, initial encounter
S50.352D@Superficial foreign body of left elbow, subsequent encounter
S50.352S@Superficial foreign body of left elbow, sequela
S50.359A@Superficial foreign body of unspecified elbow, init encntr
S50.359D@Superficial foreign body of unspecified elbow, subs encntr
S50.359S@Superficial foreign body of unspecified elbow, sequela
S50.361A@Insect bite (nonvenomous) of right elbow, initial encounter
S50.361D@Insect bite (nonvenomous) of right elbow, subs encntr
S50.361S@Insect bite (nonvenomous) of right elbow, sequela
S50.362A@Insect bite (nonvenomous) of left elbow, initial encounter
S50.362D@Insect bite (nonvenomous) of left elbow, subs encntr
S50.362S@Insect bite (nonvenomous) of left elbow, sequela
S50.369A@Insect bite (nonvenomous) of unspecified elbow, init encntr
S50.369D@Insect bite (nonvenomous) of unspecified elbow, subs encntr
S50.369S@Insect bite (nonvenomous) of unspecified elbow, sequela
S50.371A@Other superficial bite of right elbow, initial encounter
S50.371D@Other superficial bite of right elbow, subsequent encounter
S50.371S@Other superficial bite of right elbow, sequela
S50.372A@Other superficial bite of left elbow, initial encounter
S50.372D@Other superficial bite of left elbow, subsequent encounter
S50.372S@Other superficial bite of left elbow, sequela
S50.379A@Other superficial bite of unspecified elbow, init encntr
S50.379D@Other superficial bite of unspecified elbow, subs encntr
S50.379S@Other superficial bite of unspecified elbow, sequela
S50.811A@Abrasion of right forearm, initial encounter
S50.811D@Abrasion of right forearm, subsequent encounter
S50.811S@Abrasion of right forearm, sequela
S50.812A@Abrasion of left forearm, initial encounter
S50.812D@Abrasion of left forearm, subsequent encounter
S50.812S@Abrasion of left forearm, sequela
S50.819A@Abrasion of unspecified forearm, initial encounter
S50.819D@Abrasion of unspecified forearm, subsequent encounter
S50.819S@Abrasion of unspecified forearm, sequela
S50.821A@Blister (nonthermal) of right forearm, initial encounter
S50.821D@Blister (nonthermal) of right forearm, subsequent encounter
S50.821S@Blister (nonthermal) of right forearm, sequela
S50.822A@Blister (nonthermal) of left forearm, initial encounter
S50.822D@Blister (nonthermal) of left forearm, subsequent encounter
S50.822S@Blister (nonthermal) of left forearm, sequela
S50.829A@Blister (nonthermal) of unspecified forearm, init encntr
S50.829D@Blister (nonthermal) of unspecified forearm, subs encntr
S50.829S@Blister (nonthermal) of unspecified forearm, sequela
S50.841A@External constriction of right forearm, initial encounter
S50.841D@External constriction of right forearm, subsequent encounter
S50.841S@External constriction of right forearm, sequela
S50.842A@External constriction of left forearm, initial encounter
S50.842D@External constriction of left forearm, subsequent encounter
S50.842S@External constriction of left forearm, sequela
S50.849A@External constriction of unspecified forearm, init encntr
S50.849D@External constriction of unspecified forearm, subs encntr
S50.849S@External constriction of unspecified forearm, sequela
S50.851A@Superficial foreign body of right forearm, initial encounter
S50.851D@Superficial foreign body of right forearm, subs encntr
S50.851S@Superficial foreign body of right forearm, sequela
S50.852A@Superficial foreign body of left forearm, initial encounter
S50.852D@Superficial foreign body of left forearm, subs encntr
S50.852S@Superficial foreign body of left forearm, sequela
S50.859A@Superficial foreign body of unspecified forearm, init encntr
S50.859D@Superficial foreign body of unspecified forearm, subs encntr
S50.859S@Superficial foreign body of unspecified forearm, sequela
S50.861A@Insect bite (nonvenomous) of right forearm, init encntr
S50.861D@Insect bite (nonvenomous) of right forearm, subs encntr
S50.861S@Insect bite (nonvenomous) of right forearm, sequela
S50.862A@Insect bite (nonvenomous) of left forearm, initial encounter
S50.862D@Insect bite (nonvenomous) of left forearm, subs encntr
S50.862S@Insect bite (nonvenomous) of left forearm, sequela
S50.869A@Insect bite (nonvenomous) of unsp forearm, init encntr
S50.869D@Insect bite (nonvenomous) of unsp forearm, subs encntr
S50.869S@Insect bite (nonvenomous) of unspecified forearm, sequela
S50.871A@Other superficial bite of right forearm, initial encounter
S50.871D@Other superficial bite of right forearm, subs encntr
S50.871S@Other superficial bite of right forearm, sequela
S50.872A@Other superficial bite of left forearm, initial encounter
S50.872D@Other superficial bite of left forearm, subsequent encounter
S50.872S@Other superficial bite of left forearm, sequela
S50.879A@Other superficial bite of unspecified forearm, init encntr
S50.879D@Other superficial bite of unspecified forearm, subs encntr
S50.879S@Other superficial bite of unspecified forearm, sequela
S50.901A@Unspecified superficial injury of right elbow, init encntr
S50.901D@Unspecified superficial injury of right elbow, subs encntr
S50.901S@Unspecified superficial injury of right elbow, sequela
S50.902A@Unspecified superficial injury of left elbow, init encntr
S50.902D@Unspecified superficial injury of left elbow, subs encntr
S50.902S@Unspecified superficial injury of left elbow, sequela
S50.909A@Unsp superficial injury of unspecified elbow, init encntr
S50.909D@Unsp superficial injury of unspecified elbow, subs encntr
S50.909S@Unspecified superficial injury of unspecified elbow, sequela
S50.911A@Unspecified superficial injury of right forearm, init encntr
S50.911D@Unspecified superficial injury of right forearm, subs encntr
S50.911S@Unspecified superficial injury of right forearm, sequela
S50.912A@Unspecified superficial injury of left forearm, init encntr
S50.912D@Unspecified superficial injury of left forearm, subs encntr
S50.912S@Unspecified superficial injury of left forearm, sequela
S50.919A@Unsp superficial injury of unspecified forearm, init encntr
S50.919D@Unsp superficial injury of unspecified forearm, subs encntr
S50.919S@Unsp superficial injury of unspecified forearm, sequela
S51.001A@Unspecified open wound of right elbow, initial encounter
S51.001D@Unspecified open wound of right elbow, subsequent encounter
S51.001S@Unspecified open wound of right elbow, sequela
S51.002A@Unspecified open wound of left elbow, initial encounter
S51.002D@Unspecified open wound of left elbow, subsequent encounter
S51.002S@Unspecified open wound of left elbow, sequela
S51.009A@Unspecified open wound of unspecified elbow, init encntr
S51.009D@Unspecified open wound of unspecified elbow, subs encntr
S51.009S@Unspecified open wound of unspecified elbow, sequela
S51.011A@Laceration without foreign body of right elbow, init encntr
S51.011D@Laceration without foreign body of right elbow, subs encntr
S51.011S@Laceration without foreign body of right elbow, sequela
S51.012A@Laceration without foreign body of left elbow, init encntr
S51.012D@Laceration without foreign body of left elbow, subs encntr
S51.012S@Laceration without foreign body of left elbow, sequela
S51.019A@Laceration without foreign body of unsp elbow, init encntr
S51.019D@Laceration without foreign body of unsp elbow, subs encntr
S51.019S@Laceration without foreign body of unsp elbow, sequela
S51.021A@Laceration with foreign body of right elbow, init encntr
S51.021D@Laceration with foreign body of right elbow, subs encntr
S51.021S@Laceration with foreign body of right elbow, sequela
S51.022A@Laceration with foreign body of left elbow, init encntr
S51.022D@Laceration with foreign body of left elbow, subs encntr
S51.022S@Laceration with foreign body of left elbow, sequela
S51.029A@Laceration with foreign body of unsp elbow, init encntr
S51.029D@Laceration with foreign body of unsp elbow, subs encntr
S51.029S@Laceration with foreign body of unspecified elbow, sequela
S51.031A@Puncture wound w/o foreign body of right elbow, init encntr
S51.031D@Puncture wound w/o foreign body of right elbow, subs encntr
S51.031S@Puncture wound without foreign body of right elbow, sequela
S51.032A@Puncture wound w/o foreign body of left elbow, init encntr
S51.032D@Puncture wound w/o foreign body of left elbow, subs encntr
S51.032S@Puncture wound without foreign body of left elbow, sequela
S51.039A@Puncture wound w/o foreign body of unsp elbow, init encntr
S51.039D@Puncture wound w/o foreign body of unsp elbow, subs encntr
S51.039S@Puncture wound without foreign body of unsp elbow, sequela
S51.041A@Puncture wound with foreign body of right elbow, init encntr
S51.041D@Puncture wound with foreign body of right elbow, subs encntr
S51.041S@Puncture wound with foreign body of right elbow, sequela
S51.042A@Puncture wound with foreign body of left elbow, init encntr
S51.042D@Puncture wound with foreign body of left elbow, subs encntr
S51.042S@Puncture wound with foreign body of left elbow, sequela
S51.049A@Puncture wound with foreign body of unsp elbow, init encntr
S51.049D@Puncture wound with foreign body of unsp elbow, subs encntr
S51.049S@Puncture wound with foreign body of unsp elbow, sequela
S51.051A@Open bite, right elbow, initial encounter
S51.051D@Open bite, right elbow, subsequent encounter
S51.051S@Open bite, right elbow, sequela
S51.052A@Open bite, left elbow, initial encounter
S51.052D@Open bite, left elbow, subsequent encounter
S51.052S@Open bite, left elbow, sequela
S51.059A@Open bite, unspecified elbow, initial encounter
S51.059D@Open bite, unspecified elbow, subsequent encounter
S51.059S@Open bite, unspecified elbow, sequela
S51.801A@Unspecified open wound of right forearm, initial encounter
S51.801D@Unspecified open wound of right forearm, subs encntr
S51.801S@Unspecified open wound of right forearm, sequela
S51.802A@Unspecified open wound of left forearm, initial encounter
S51.802D@Unspecified open wound of left forearm, subsequent encounter
S51.802S@Unspecified open wound of left forearm, sequela
S51.809A@Unspecified open wound of unspecified forearm, init encntr
S51.809D@Unspecified open wound of unspecified forearm, subs encntr
S51.809S@Unspecified open wound of unspecified forearm, sequela
S51.811A@Laceration w/o foreign body of right forearm, init encntr
S51.811D@Laceration w/o foreign body of right forearm, subs encntr
S51.811S@Laceration without foreign body of right forearm, sequela
S51.812A@Laceration without foreign body of left forearm, init encntr
S51.812D@Laceration without foreign body of left forearm, subs encntr
S51.812S@Laceration without foreign body of left forearm, sequela
S51.819A@Laceration without foreign body of unsp forearm, init encntr
S51.819D@Laceration without foreign body of unsp forearm, subs encntr
S51.819S@Laceration without foreign body of unsp forearm, sequela
S51.821A@Laceration with foreign body of right forearm, init encntr
S51.821D@Laceration with foreign body of right forearm, subs encntr
S51.821S@Laceration with foreign body of right forearm, sequela
S51.822A@Laceration with foreign body of left forearm, init encntr
S51.822D@Laceration with foreign body of left forearm, subs encntr
S51.822S@Laceration with foreign body of left forearm, sequela
