S60.00XA@Contusion of unsp finger without damage to nail, init encntr
S60.00XD@Contusion of unsp finger without damage to nail, subs encntr
S60.00XS@Contusion of unsp finger without damage to nail, sequela
S60.011A@Contusion of right thumb without damage to nail, init encntr
S60.011D@Contusion of right thumb without damage to nail, subs encntr
S60.011S@Contusion of right thumb without damage to nail, sequela
S60.012A@Contusion of left thumb without damage to nail, init encntr
S60.012D@Contusion of left thumb without damage to nail, subs encntr
S60.012S@Contusion of left thumb without damage to nail, sequela
S60.019A@Contusion of unsp thumb without damage to nail, init encntr
S60.019D@Contusion of unsp thumb without damage to nail, subs encntr
S60.019S@Contusion of unsp thumb without damage to nail, sequela
S60.021A@Contusion of right index finger w/o damage to nail, init
S60.021D@Contusion of right index finger w/o damage to nail, subs
S60.021S@Contusion of right index finger w/o damage to nail, sequela
S60.022A@Contusion of left index finger w/o damage to nail, init
S60.022D@Contusion of left index finger w/o damage to nail, subs
S60.022S@Contusion of left index finger w/o damage to nail, sequela
S60.029A@Contusion of unsp index finger w/o damage to nail, init
S60.029D@Contusion of unsp index finger w/o damage to nail, subs
S60.029S@Contusion of unsp index finger w/o damage to nail, sequela
S60.031A@Contusion of right middle finger w/o damage to nail, init
S60.031D@Contusion of right middle finger w/o damage to nail, subs
S60.031S@Contusion of right middle finger w/o damage to nail, sequela
S60.032A@Contusion of left middle finger w/o damage to nail, init
S60.032D@Contusion of left middle finger w/o damage to nail, subs
S60.032S@Contusion of left middle finger w/o damage to nail, sequela
S60.039A@Contusion of unsp middle finger w/o damage to nail, init
S60.039D@Contusion of unsp middle finger w/o damage to nail, subs
S60.039S@Contusion of unsp middle finger w/o damage to nail, sequela
S60.041A@Contusion of right ring finger w/o damage to nail, init
S60.041D@Contusion of right ring finger w/o damage to nail, subs
S60.041S@Contusion of right ring finger w/o damage to nail, sequela
S60.042A@Contusion of left ring finger w/o damage to nail, init
S60.042D@Contusion of left ring finger w/o damage to nail, subs
S60.042S@Contusion of left ring finger w/o damage to nail, sequela
S60.049A@Contusion of unsp ring finger w/o damage to nail, init
S60.049D@Contusion of unsp ring finger w/o damage to nail, subs
S60.049S@Contusion of unsp ring finger w/o damage to nail, sequela
S60.051A@Contusion of right little finger w/o damage to nail, init
S60.051D@Contusion of right little finger w/o damage to nail, subs
S60.051S@Contusion of right little finger w/o damage to nail, sequela
S60.052A@Contusion of left little finger w/o damage to nail, init
S60.052D@Contusion of left little finger w/o damage to nail, subs
S60.052S@Contusion of left little finger w/o damage to nail, sequela
S60.059A@Contusion of unsp little finger w/o damage to nail, init
S60.059D@Contusion of unsp little finger w/o damage to nail, subs
S60.059S@Contusion of unsp little finger w/o damage to nail, sequela
S60.10XA@Contusion of unsp finger with damage to nail, init encntr
S60.10XD@Contusion of unsp finger with damage to nail, subs encntr
S60.10XS@Contusion of unspecified finger with damage to nail, sequela
S60.111A@Contusion of right thumb with damage to nail, init encntr
S60.111D@Contusion of right thumb with damage to nail, subs encntr
S60.111S@Contusion of right thumb with damage to nail, sequela
S60.112A@Contusion of left thumb with damage to nail, init encntr
