S90.00XA@Contusion of unspecified ankle, initial encounter
S90.00XD@Contusion of unspecified ankle, subsequent encounter
S90.00XS@Contusion of unspecified ankle, sequela
S90.01XA@Contusion of right ankle, initial encounter
S90.01XD@Contusion of right ankle, subsequent encounter
S90.01XS@Contusion of right ankle, sequela
S90.02XA@Contusion of left ankle, initial encounter
S90.02XD@Contusion of left ankle, subsequent encounter
S90.02XS@Contusion of left ankle, sequela
S90.111A@Contusion of right great toe w/o damage to nail, init encntr
S90.111D@Contusion of right great toe w/o damage to nail, subs encntr
S90.111S@Contusion of right great toe without damage to nail, sequela
S90.112A@Contusion of left great toe w/o damage to nail, init encntr
S90.112D@Contusion of left great toe w/o damage to nail, subs encntr
S90.112S@Contusion of left great toe without damage to nail, sequela
S90.119A@Contusion of unsp great toe w/o damage to nail, init encntr
S90.119D@Contusion of unsp great toe w/o damage to nail, subs encntr
S90.119S@Contusion of unsp great toe without damage to nail, sequela
S90.121A@Contusion of right lesser toe(s) w/o damage to nail, init
S90.121D@Contusion of right lesser toe(s) w/o damage to nail, subs
S90.121S@Contusion of right lesser toe(s) w/o damage to nail, sequela
S90.122A@Contusion of left lesser toe(s) w/o damage to nail, init
S90.122D@Contusion of left lesser toe(s) w/o damage to nail, subs
S90.122S@Contusion of left lesser toe(s) w/o damage to nail, sequela
S90.129A@Contusion of unsp lesser toe(s) w/o damage to nail, init
S90.129D@Contusion of unsp lesser toe(s) w/o damage to nail, subs
S90.129S@Contusion of unsp lesser toe(s) w/o damage to nail, sequela
S90.211A@Contusion of right great toe w damage to nail, init encntr
S90.211D@Contusion of right great toe w damage to nail, subs encntr
S90.211S@Contusion of right great toe with damage to nail, sequela
S90.212A@Contusion of left great toe with damage to nail, init encntr
S90.212D@Contusion of left great toe with damage to nail, subs encntr
S90.212S@Contusion of left great toe with damage to nail, sequela
S90.219A@Contusion of unsp great toe with damage to nail, init encntr
S90.219D@Contusion of unsp great toe with damage to nail, subs encntr
S90.219S@Contusion of unsp great toe with damage to nail, sequela
S90.221A@Contusion of right lesser toe(s) w damage to nail, init
S90.221D@Contusion of right lesser toe(s) w damage to nail, subs
S90.221S@Contusion of right lesser toe(s) w damage to nail, sequela
S90.222A@Contusion of left lesser toe(s) w damage to nail, init
S90.222D@Contusion of left lesser toe(s) w damage to nail, subs
S90.222S@Contusion of left lesser toe(s) with damage to nail, sequela
S90.229A@Contusion of unsp lesser toe(s) w damage to nail, init
S90.229D@Contusion of unsp lesser toe(s) w damage to nail, subs
S90.229S@Contusion of unsp lesser toe(s) with damage to nail, sequela
S90.30XA@Contusion of unspecified foot, initial encounter
S90.30XD@Contusion of unspecified foot, subsequent encounter
S90.30XS@Contusion of unspecified foot, sequela
S90.31XA@Contusion of right foot, initial encounter
S90.31XD@Contusion of right foot, subsequent encounter
S90.31XS@Contusion of right foot, sequela
S90.32XA@Contusion of left foot, initial encounter
S90.32XD@Contusion of left foot, subsequent encounter
S90.32XS@Contusion of left foot, sequela
S90.411A@Abrasion, right great toe, initial encounter
S90.411D@Abrasion, right great toe, subsequent encounter
S90.411S@Abrasion, right great toe, sequela
S90.412A@Abrasion, left great toe, initial encounter
S90.412D@Abrasion, left great toe, subsequent encounter
S90.412S@Abrasion, left great toe, sequela
S90.413A@Abrasion, unspecified great toe, initial encounter
S90.413D@Abrasion, unspecified great toe, subsequent encounter
S90.413S@Abrasion, unspecified great toe, sequela
S90.414A@Abrasion, right lesser toe(s), initial encounter
S90.414D@Abrasion, right lesser toe(s), subsequent encounter
S90.414S@Abrasion, right lesser toe(s), sequela
S90.415A@Abrasion, left lesser toe(s), initial encounter
S90.415D@Abrasion, left lesser toe(s), subsequent encounter
S90.415S@Abrasion, left lesser toe(s), sequela
S90.416A@Abrasion, unspecified lesser toe(s), initial encounter
S90.416D@Abrasion, unspecified lesser toe(s), subsequent encounter
S90.416S@Abrasion, unspecified lesser toe(s), sequela
S90.421A@Blister (nonthermal), right great toe, initial encounter
S90.421D@Blister (nonthermal), right great toe, subsequent encounter
S90.421S@Blister (nonthermal), right great toe, sequela
S90.422A@Blister (nonthermal), left great toe, initial encounter
S90.422D@Blister (nonthermal), left great toe, subsequent encounter
S90.422S@Blister (nonthermal), left great toe, sequela
S90.423A@Blister (nonthermal), unspecified great toe, init encntr
S90.423D@Blister (nonthermal), unspecified great toe, subs encntr
S90.423S@Blister (nonthermal), unspecified great toe, sequela
S90.424A@Blister (nonthermal), right lesser toe(s), initial encounter
S90.424D@Blister (nonthermal), right lesser toe(s), subs encntr
S90.424S@Blister (nonthermal), right lesser toe(s), sequela
S90.425A@Blister (nonthermal), left lesser toe(s), initial encounter
S90.425D@Blister (nonthermal), left lesser toe(s), subs encntr
S90.425S@Blister (nonthermal), left lesser toe(s), sequela
S90.426A@Blister (nonthermal), unspecified lesser toe(s), init encntr
S90.426D@Blister (nonthermal), unspecified lesser toe(s), subs encntr
S90.426S@Blister (nonthermal), unspecified lesser toe(s), sequela
S90.441A@External constriction, right great toe, initial encounter
S90.441D@External constriction, right great toe, subsequent encounter
S90.441S@External constriction, right great toe, sequela
S90.442A@External constriction, left great toe, initial encounter
S90.442D@External constriction, left great toe, subsequent encounter
S90.442S@External constriction, left great toe, sequela
S90.443A@External constriction, unspecified great toe, init encntr
S90.443D@External constriction, unspecified great toe, subs encntr
S90.443S@External constriction, unspecified great toe, sequela
S90.444A@External constriction, right lesser toe(s), init encntr
S90.444D@External constriction, right lesser toe(s), subs encntr
S90.444S@External constriction, right lesser toe(s), sequela
S90.445A@External constriction, left lesser toe(s), initial encounter
S90.445D@External constriction, left lesser toe(s), subs encntr
S90.445S@External constriction, left lesser toe(s), sequela
S90.446A@External constriction, unsp lesser toe(s), init encntr
S90.446D@External constriction, unsp lesser toe(s), subs encntr
S90.446S@External constriction, unspecified lesser toe(s), sequela
S90.451A@Superficial foreign body, right great toe, initial encounter
S90.451D@Superficial foreign body, right great toe, subs encntr
