T33.011A@Superficial frostbite of right ear, initial encounter
T33.011D@Superficial frostbite of right ear, subsequent encounter
T33.011S@Superficial frostbite of right ear, sequela
T33.012A@Superficial frostbite of left ear, initial encounter
T33.012D@Superficial frostbite of left ear, subsequent encounter
T33.012S@Superficial frostbite of left ear, sequela
T33.019A@Superficial frostbite of unspecified ear, initial encounter
T33.019D@Superficial frostbite of unspecified ear, subs encntr
T33.019S@Superficial frostbite of unspecified ear, sequela
T33.02XA@Superficial frostbite of nose, initial encounter
T33.02XD@Superficial frostbite of nose, subsequent encounter
T33.02XS@Superficial frostbite of nose, sequela
T33.09XA@Superficial frostbite of other part of head, init encntr
T33.09XD@Superficial frostbite of other part of head, subs encntr
T33.09XS@Superficial frostbite of other part of head, sequela
T33.1XXA@Superficial frostbite of neck, initial encounter
T33.1XXD@Superficial frostbite of neck, subsequent encounter
T33.1XXS@Superficial frostbite of neck, sequela
T33.2XXA@Superficial frostbite of thorax, initial encounter
T33.2XXD@Superficial frostbite of thorax, subsequent encounter
T33.2XXS@Superficial frostbite of thorax, sequela
T33.3XXA@Superfic frostbite of abd wall, lower back and pelvis, init
T33.3XXD@Superfic frostbite of abd wall, lower back and pelvis, subs
T33.3XXS@Superfic frostbite of abd wall, low back and pelvis, sequela
T33.40XA@Superficial frostbite of unspecified arm, initial encounter
T33.40XD@Superficial frostbite of unspecified arm, subs encntr
T33.40XS@Superficial frostbite of unspecified arm, sequela
T33.41XA@Superficial frostbite of right arm, initial encounter
T33.41XD@Superficial frostbite of right arm, subsequent encounter
T33.41XS@Superficial frostbite of right arm, sequela
T33.42XA@Superficial frostbite of left arm, initial encounter
T33.42XD@Superficial frostbite of left arm, subsequent encounter
T33.42XS@Superficial frostbite of left arm, sequela
T33.511A@Superficial frostbite of right wrist, initial encounter
T33.511D@Superficial frostbite of right wrist, subsequent encounter
T33.511S@Superficial frostbite of right wrist, sequela
T33.512A@Superficial frostbite of left wrist, initial encounter
T33.512D@Superficial frostbite of left wrist, subsequent encounter
T33.512S@Superficial frostbite of left wrist, sequela
T33.519A@Superficial frostbite of unspecified wrist, init encntr
T33.519D@Superficial frostbite of unspecified wrist, subs encntr
T33.519S@Superficial frostbite of unspecified wrist, sequela
T33.521A@Superficial frostbite of right hand, initial encounter
T33.521D@Superficial frostbite of right hand, subsequent encounter
T33.521S@Superficial frostbite of right hand, sequela
T33.522A@Superficial frostbite of left hand, initial encounter
T33.522D@Superficial frostbite of left hand, subsequent encounter
T33.522S@Superficial frostbite of left hand, sequela
T33.529A@Superficial frostbite of unspecified hand, initial encounter
T33.529D@Superficial frostbite of unspecified hand, subs encntr
T33.529S@Superficial frostbite of unspecified hand, sequela
T33.531A@Superficial frostbite of right finger(s), initial encounter
T33.531D@Superficial frostbite of right finger(s), subs encntr
T33.531S@Superficial frostbite of right finger(s), sequela
T33.532A@Superficial frostbite of left finger(s), initial encounter
T33.532D@Superficial frostbite of left finger(s), subs encntr
T33.532S@Superficial frostbite of left finger(s), sequela
T33.539A@Superficial frostbite of unspecified finger(s), init encntr
T33.539D@Superficial frostbite of unspecified finger(s), subs encntr
T33.539S@Superficial frostbite of unspecified finger(s), sequela
T33.60XA@Superficial frostbite of unsp hip and thigh, init encntr
T33.60XD@Superficial frostbite of unsp hip and thigh, subs encntr
T33.60XS@Superficial frostbite of unspecified hip and thigh, sequela
T33.61XA@Superficial frostbite of right hip and thigh, init encntr
T33.61XD@Superficial frostbite of right hip and thigh, subs encntr
T33.61XS@Superficial frostbite of right hip and thigh, sequela
T33.62XA@Superficial frostbite of left hip and thigh, init encntr
T33.62XD@Superficial frostbite of left hip and thigh, subs encntr
T33.62XS@Superficial frostbite of left hip and thigh, sequela
T33.70XA@Superficial frostbite of unsp knee and lower leg, init
T33.70XD@Superficial frostbite of unsp knee and lower leg, subs
T33.70XS@Superficial frostbite of unsp knee and lower leg, sequela
T33.71XA@Superficial frostbite of right knee and lower leg, init
T33.71XD@Superficial frostbite of right knee and lower leg, subs
T33.71XS@Superficial frostbite of right knee and lower leg, sequela
T33.72XA@Superficial frostbite of left knee and lower leg, init
T33.72XD@Superficial frostbite of left knee and lower leg, subs
T33.72XS@Superficial frostbite of left knee and lower leg, sequela
T33.811A@Superficial frostbite of right ankle, initial encounter
T33.811D@Superficial frostbite of right ankle, subsequent encounter
T33.811S@Superficial frostbite of right ankle, sequela
T33.812A@Superficial frostbite of left ankle, initial encounter
T33.812D@Superficial frostbite of left ankle, subsequent encounter
T33.812S@Superficial frostbite of left ankle, sequela
T33.819A@Superficial frostbite of unspecified ankle, init encntr
T33.819D@Superficial frostbite of unspecified ankle, subs encntr
T33.819S@Superficial frostbite of unspecified ankle, sequela
T33.821A@Superficial frostbite of right foot, initial encounter
T33.821D@Superficial frostbite of right foot, subsequent encounter
T33.821S@Superficial frostbite of right foot, sequela
T33.822A@Superficial frostbite of left foot, initial encounter
T33.822D@Superficial frostbite of left foot, subsequent encounter
T33.822S@Superficial frostbite of left foot, sequela
T33.829A@Superficial frostbite of unspecified foot, initial encounter
T33.829D@Superficial frostbite of unspecified foot, subs encntr
T33.829S@Superficial frostbite of unspecified foot, sequela
T33.831A@Superficial frostbite of right toe(s), initial encounter
T33.831D@Superficial frostbite of right toe(s), subsequent encounter
T33.831S@Superficial frostbite of right toe(s), sequela
T33.832A@Superficial frostbite of left toe(s), initial encounter
T33.832D@Superficial frostbite of left toe(s), subsequent encounter
T33.832S@Superficial frostbite of left toe(s), sequela
T33.839A@Superficial frostbite of unspecified toe(s), init encntr
T33.839D@Superficial frostbite of unspecified toe(s), subs encntr
T33.839S@Superficial frostbite of unspecified toe(s), sequela
T33.90XA@Superficial frostbite of unspecified sites, init encntr
T33.90XD@Superficial frostbite of unspecified sites, subs encntr
T33.90XS@Superficial frostbite of unspecified sites, sequela
T33.99XA@Superficial frostbite of other sites, initial encounter
T33.99XD@Superficial frostbite of other sites, subsequent encounter
T33.99XS@Superficial frostbite of other sites, sequela
T34.011A@Frostbite with tissue necrosis of right ear, init encntr
T34.011D@Frostbite with tissue necrosis of right ear, subs encntr
T34.011S@Frostbite with tissue necrosis of right ear, sequela
T34.012A@Frostbite with tissue necrosis of left ear, init encntr
T34.012D@Frostbite with tissue necrosis of left ear, subs encntr
T34.012S@Frostbite with tissue necrosis of left ear, sequela
T34.019A@Frostbite with tissue necrosis of unsp ear, init encntr
T34.019D@Frostbite with tissue necrosis of unsp ear, subs encntr
T34.019S@Frostbite with tissue necrosis of unspecified ear, sequela
T34.02XA@Frostbite with tissue necrosis of nose, initial encounter
T34.02XD@Frostbite with tissue necrosis of nose, subsequent encounter
T34.02XS@Frostbite with tissue necrosis of nose, sequela
T34.09XA@Frostbite w tissue necrosis of oth part of head, init encntr
T34.09XD@Frostbite w tissue necrosis of oth part of head, subs encntr
T34.09XS@Frostbite with tissue necrosis of oth part of head, sequela
T34.1XXA@Frostbite with tissue necrosis of neck, initial encounter
T34.1XXD@Frostbite with tissue necrosis of neck, subsequent encounter
T34.1XXS@Frostbite with tissue necrosis of neck, sequela
T34.2XXA@Frostbite with tissue necrosis of thorax, initial encounter
T34.2XXD@Frostbite with tissue necrosis of thorax, subs encntr
T34.2XXS@Frostbite with tissue necrosis of thorax, sequela
T34.3XXA@Frstbte w tissue necros abd wall, low back and pelvis, init
T34.3XXD@Frstbte w tissue necros abd wall, low back and pelvis, subs
T34.3XXS@Frstbte w tissue necros abd wall, low back and pelvis, sqla
T34.40XA@Frostbite with tissue necrosis of unsp arm, init encntr
T34.40XD@Frostbite with tissue necrosis of unsp arm, subs encntr
T34.40XS@Frostbite with tissue necrosis of unspecified arm, sequela
T34.41XA@Frostbite with tissue necrosis of right arm, init encntr
T34.41XD@Frostbite with tissue necrosis of right arm, subs encntr
T34.41XS@Frostbite with tissue necrosis of right arm, sequela
T34.42XA@Frostbite with tissue necrosis of left arm, init encntr
T34.42XD@Frostbite with tissue necrosis of left arm, subs encntr
T34.42XS@Frostbite with tissue necrosis of left arm, sequela
T34.511A@Frostbite with tissue necrosis of right wrist, init encntr
T34.511D@Frostbite with tissue necrosis of right wrist, subs encntr
