T51.0X1A@Toxic effect of ethanol, accidental (unintentional), init
T51.0X1D@Toxic effect of ethanol, accidental (unintentional), subs
T51.0X1S@Toxic effect of ethanol, accidental (unintentional), sequela
T51.0X2A@Toxic effect of ethanol, intentional self-harm, init encntr
T51.0X2D@Toxic effect of ethanol, intentional self-harm, subs encntr
T51.0X2S@Toxic effect of ethanol, intentional self-harm, sequela
T51.0X3A@Toxic effect of ethanol, assault, initial encounter
T51.0X3D@Toxic effect of ethanol, assault, subsequent encounter
T51.0X3S@Toxic effect of ethanol, assault, sequela
T51.0X4A@Toxic effect of ethanol, undetermined, initial encounter
T51.0X4D@Toxic effect of ethanol, undetermined, subsequent encounter
T51.0X4S@Toxic effect of ethanol, undetermined, sequela
T51.1X1A@Toxic effect of methanol, accidental (unintentional), init
T51.1X1D@Toxic effect of methanol, accidental (unintentional), subs
T51.1X1S@Toxic effect of methanol, accidental, sequela
T51.1X2A@Toxic effect of methanol, intentional self-harm, init encntr
T51.1X2D@Toxic effect of methanol, intentional self-harm, subs encntr
T51.1X2S@Toxic effect of methanol, intentional self-harm, sequela
T51.1X3A@Toxic effect of methanol, assault, initial encounter
T51.1X3D@Toxic effect of methanol, assault, subsequent encounter
T51.1X3S@Toxic effect of methanol, assault, sequela
T51.1X4A@Toxic effect of methanol, undetermined, initial encounter
T51.1X4D@Toxic effect of methanol, undetermined, subsequent encounter
T51.1X4S@Toxic effect of methanol, undetermined, sequela
T51.2X1A@Toxic effect of 2-Propanol, accidental (unintentional), init
T51.2X1D@Toxic effect of 2-Propanol, accidental (unintentional), subs
T51.2X1S@Toxic effect of 2-Propanol, accidental, sequela
T51.2X2A@Toxic effect of 2-Propanol, intentional self-harm, init
T51.2X2D@Toxic effect of 2-Propanol, intentional self-harm, subs
T51.2X2S@Toxic effect of 2-Propanol, intentional self-harm, sequela
T51.2X3A@Toxic effect of 2-Propanol, assault, initial encounter
T51.2X3D@Toxic effect of 2-Propanol, assault, subsequent encounter
T51.2X3S@Toxic effect of 2-Propanol, assault, sequela
T51.2X4A@Toxic effect of 2-Propanol, undetermined, initial encounter
T51.2X4D@Toxic effect of 2-Propanol, undetermined, subs encntr
T51.2X4S@Toxic effect of 2-Propanol, undetermined, sequela
T51.3X1A@Toxic effect of fusel oil, accidental (unintentional), init
T51.3X1D@Toxic effect of fusel oil, accidental (unintentional), subs
T51.3X1S@Toxic effect of fusel oil, accidental, sequela
T51.3X2A@Toxic effect of fusel oil, intentional self-harm, init
T51.3X2D@Toxic effect of fusel oil, intentional self-harm, subs
T51.3X2S@Toxic effect of fusel oil, intentional self-harm, sequela
T51.3X3A@Toxic effect of fusel oil, assault, initial encounter
T51.3X3D@Toxic effect of fusel oil, assault, subsequent encounter
T51.3X3S@Toxic effect of fusel oil, assault, sequela
T51.3X4A@Toxic effect of fusel oil, undetermined, initial encounter
T51.3X4D@Toxic effect of fusel oil, undetermined, subs encntr
T51.3X4S@Toxic effect of fusel oil, undetermined, sequela
T51.8X1A@Toxic effect of alcohols, accidental (unintentional), init
T51.8X1D@Toxic effect of alcohols, accidental (unintentional), subs
T51.8X1S@Toxic effect of alcohols, accidental, sequela
T51.8X2A@Toxic effect of oth alcohols, intentional self-harm, init
T51.8X2D@Toxic effect of oth alcohols, intentional self-harm, subs
T51.8X2S@Toxic effect of oth alcohols, intentional self-harm, sequela
T51.8X3A@Toxic effect of other alcohols, assault, initial encounter
T51.8X3D@Toxic effect of other alcohols, assault, subs encntr
T51.8X3S@Toxic effect of other alcohols, assault, sequela
T51.8X4A@Toxic effect of other alcohols, undetermined, init encntr
T51.8X4D@Toxic effect of other alcohols, undetermined, subs encntr
T51.8X4S@Toxic effect of other alcohols, undetermined, sequela
T51.91XA@Toxic effect of unsp alcohol, accidental, init
T51.91XD@Toxic effect of unsp alcohol, accidental, subs
T51.91XS@Toxic effect of unsp alcohol, accidental, sequela
