V00.01XA@Ped on foot injured in collision w roller-skater, init
V00.01XD@Ped on foot injured in collision w roller-skater, subs
V00.01XS@Ped on foot injured in collision w roller-skater, sequela
V00.02XA@Pedestrian on foot injured in collision w skateboarder, init
V00.02XD@Pedestrian on foot injured in collision w skateboarder, subs
V00.02XS@Ped on foot injured in collision w skateboarder, sequela
V00.09XA@Ped on foot injured in collision w oth ped convey, init
V00.09XD@Ped on foot injured in collision w oth ped convey, subs
V00.09XS@Ped on foot injured in collision w oth ped convey, sequela
V00.111A@Fall from in-line roller-skates, initial encounter
V00.111D@Fall from in-line roller-skates, subsequent encounter
V00.111S@Fall from in-line roller-skates, sequela
V00.112A@In-line roller-skater colliding w stationary object, init
V00.112D@In-line roller-skater colliding w stationary object, subs
V00.112S@In-line roller-skater colliding w stationary object, sequela
V00.118A@Other in-line roller-skate accident, initial encounter
V00.118D@Other in-line roller-skate accident, subsequent encounter
V00.118S@Other in-line roller-skate accident, sequela
V00.121A@Fall from non-in-line roller-skates, initial encounter
V00.121D@Fall from non-in-line roller-skates, subsequent encounter
V00.121S@Fall from non-in-line roller-skates, sequela
V00.122A@Non-in-line roller-skater colliding w statnry obj, init
V00.122D@Non-in-line roller-skater colliding w statnry obj, subs
V00.122S@Non-in-line roller-skater colliding w statnry obj, sequela
V00.128A@Other non-in-line roller-skating accident, initial encounter
V00.128D@Other non-in-line roller-skating accident, subs encntr
V00.128S@Other non-in-line roller-skating accident, sequela
V00.131A@Fall from skateboard, initial encounter
V00.131D@Fall from skateboard, subsequent encounter
V00.131S@Fall from skateboard, sequela
V00.132A@Skateboarder colliding with stationary object, init encntr
V00.132D@Skateboarder colliding with stationary object, subs encntr
V00.132S@Skateboarder colliding with stationary object, sequela
V00.138A@Other skateboard accident, initial encounter
V00.138D@Other skateboard accident, subsequent encounter
V00.138S@Other skateboard accident, sequela
V00.141A@Fall from scooter (nonmotorized), initial encounter
V00.141D@Fall from scooter (nonmotorized), subsequent encounter
V00.141S@Fall from scooter (nonmotorized), sequela
V00.142A@Scooter (nonmotorized) colliding w stationary object, init
V00.142D@Scooter (nonmotorized) colliding w stationary object, subs
V00.142S@Scooter (nonmotorized) colliding w statnry obj, sequela
V00.148A@Other scooter (nonmotorized) accident, initial encounter
V00.148D@Other scooter (nonmotorized) accident, subsequent encounter
V00.148S@Other scooter (nonmotorized) accident, sequela
V00.151A@Fall from heelies, initial encounter
V00.151D@Fall from heelies, subsequent encounter
V00.151S@Fall from heelies, sequela
V00.152A@Heelies colliding with stationary object, initial encounter
V00.152D@Heelies colliding with stationary object, subs encntr
V00.152S@Heelies colliding with stationary object, sequela
V00.158A@Other heelies accident, initial encounter
V00.158D@Other heelies accident, subsequent encounter
V00.158S@Other heelies accident, sequela
V00.181A@Fall from oth rolling-type pedestrian conveyance, init
V00.181D@Fall from oth rolling-type pedestrian conveyance, subs
V00.181S@Fall from other rolling-type pedestrian conveyance, sequela
V00.182A@Ped on oth roll-type ped convey collid w statnry obj, init
V00.182D@Ped on oth roll-type ped convey collid w statnry obj, subs
V00.182S@Ped on oth roll-type ped convey collid w statnry obj, sqla
V00.188A@Oth accident on oth rolling-type pedestrian conveyance, init
V00.188D@Oth accident on oth rolling-type pedestrian conveyance, subs
V00.188S@Oth accident on oth roll-type pedestrian conveyance, sequela
V00.211A@Fall from ice-skates, initial encounter
V00.211D@Fall from ice-skates, subsequent encounter
V00.211S@Fall from ice-skates, sequela
V00.212A@Ice-skater colliding with stationary object, init encntr
V00.212D@Ice-skater colliding with stationary object, subs encntr
V00.212S@Ice-skater colliding with stationary object, sequela
V00.218A@Other ice-skates accident, initial encounter
V00.218D@Other ice-skates accident, subsequent encounter
V00.218S@Other ice-skates accident, sequela
V00.221A@Fall from sled, initial encounter
V00.221D@Fall from sled, subsequent encounter
V00.221S@Fall from sled, sequela
V00.222A@Sledder colliding with stationary object, initial encounter
V00.222D@Sledder colliding with stationary object, subs encntr
V00.222S@Sledder colliding with stationary object, sequela
V00.228A@Other sled accident, initial encounter
V00.228D@Other sled accident, subsequent encounter
V00.228S@Other sled accident, sequela
V00.281A@Fall from gliding-type pedestrian conveyance, init encntr
V00.281D@Fall from gliding-type pedestrian conveyance, subs encntr
V00.281S@Fall from other gliding-type pedestrian conveyance, sequela
V00.282A@Ped on gliding-type ped convey colliding w statnry obj, init
V00.282D@Ped on gliding-type ped convey colliding w statnry obj, subs
V00.282S@Ped on gliding-type ped convey collid w statnry obj, sequela
V00.288A@Oth accident on gliding-type pedestrian conveyance, init
V00.288D@Oth accident on gliding-type pedestrian conveyance, subs
V00.288S@Oth accident on gliding-type pedestrian conveyance, sequela
V00.311A@Fall from snowboard, initial encounter
V00.311D@Fall from snowboard, subsequent encounter
V00.311S@Fall from snowboard, sequela
V00.312A@Snowboarder colliding with stationary object, init encntr
V00.312D@Snowboarder colliding with stationary object, subs encntr
V00.312S@Snowboarder colliding with stationary object, sequela
V00.318A@Other snowboard accident, initial encounter
V00.318D@Other snowboard accident, subsequent encounter
V00.318S@Other snowboard accident, sequela
V00.321A@Fall from snow-skis, initial encounter
V00.321D@Fall from snow-skis, subsequent encounter
V00.321S@Fall from snow-skis, sequela
V00.322A@Snow-skier colliding with stationary object, init encntr
V00.322D@Snow-skier colliding with stationary object, subs encntr
V00.322S@Snow-skier colliding with stationary object, sequela
V00.328A@Other snow-ski accident, initial encounter
V00.328D@Other snow-ski accident, subsequent encounter
V00.328S@Other snow-ski accident, sequela
V00.381A@Fall from flat-bottomed pedestrian conveyance, init encntr
V00.381D@Fall from flat-bottomed pedestrian conveyance, subs encntr
V00.381S@Fall from other flat-bottomed pedestrian conveyance, sequela
V00.382A@Ped on flat-bottomed ped convey collid w statnry obj, init
V00.382D@Ped on flat-bottomed ped convey collid w statnry obj, subs
V00.382S@Ped on flat-bottomed ped convey collid w statnry obj, sqla
V00.388A@Oth accident on flat-bottomed pedestrian conveyance, init
V00.388D@Oth accident on flat-bottomed pedestrian conveyance, subs
V00.388S@Oth accident on flat-bottomed pedestrian conveyance, sequela
V00.811A@Fall from moving wheelchair (powered), initial encounter
V00.811D@Fall from moving wheelchair (powered), subsequent encounter
V00.811S@Fall from moving wheelchair (powered), sequela
V00.812A@Wheelchair (powered) colliding w stationary object, init
V00.812D@Wheelchair (powered) colliding w stationary object, subs
V00.812S@Wheelchair (powered) colliding w stationary object, sequela
V00.818A@Other accident with wheelchair (powered), initial encounter
V00.818D@Other accident with wheelchair (powered), subs encntr
V00.818S@Other accident with wheelchair (powered), sequela
V00.821A@Fall from babystroller, initial encounter
V00.821D@Fall from babystroller, subsequent encounter
V00.821S@Fall from babystroller, sequela
V00.822A@Babystroller colliding with stationary object, init encntr
V00.822D@Babystroller colliding with stationary object, subs encntr
V00.822S@Babystroller colliding with stationary object, sequela
V00.828A@Other accident with babystroller, initial encounter
V00.828D@Other accident with babystroller, subsequent encounter
V00.828S@Other accident with babystroller, sequela
V00.831A@Fall from motorized mobility scooter, initial encounter
V00.831D@Fall from motorized mobility scooter, subsequent encounter
V00.831S@Fall from motorized mobility scooter, sequela
V00.832A@Motorized mobility scooter colliding w statnry obj, init
V00.832D@Motorized mobility scooter colliding w statnry obj, subs
V00.832S@Motorized mobility scooter colliding w statnry obj, sequela
V00.838A@Other accident with motorized mobility scooter, init encntr
V00.838D@Other accident with motorized mobility scooter, subs encntr
V00.838S@Other accident with motorized mobility scooter, sequela
V00.891A@Fall from other pedestrian conveyance, initial encounter
V00.891D@Fall from other pedestrian conveyance, subsequent encounter
V00.891S@Fall from other pedestrian conveyance, sequela
V00.892A@Ped on oth pedestrian convey colliding w statnry obj, init
V00.892D@Ped on oth pedestrian convey colliding w statnry obj, subs
V00.892S@Ped on oth ped convey colliding w statnry obj, sequela
V00.898A@Other accident on other pedestrian conveyance, init encntr
V00.898D@Other accident on other pedestrian conveyance, subs encntr
V00.898S@Other accident on other pedestrian conveyance, sequela
#
V01.00XA@Ped on foot injured in collision w pedl cyc nontraf, init
V01.00XD@Ped on foot injured in collision w pedl cyc nontraf, subs
V01.00XS@Ped on foot injured in collision w pedl cyc nontraf, sequela
V01.01XA@Ped on rolr-skt injured in clsn w pedl cyc nontraf, init
V01.01XD@Ped on rolr-skt injured in clsn w pedl cyc nontraf, subs
V01.01XS@Ped on rolr-skt injured in clsn w pedl cyc nontraf, sequela
V01.02XA@Ped on sktbrd injured in collision w pedl cyc nontraf, init
V01.02XD@Ped on sktbrd injured in collision w pedl cyc nontraf, subs
V01.02XS@Ped on sktbrd injured in clsn w pedl cyc nontraf, sequela
V01.09XA@Ped w convey injured in collision w pedl cyc nontraf, init
V01.09XD@Ped w convey injured in collision w pedl cyc nontraf, subs
V01.09XS@Ped w convey injured in clsn w pedl cyc nontraf, sequela
V01.10XA@Ped on foot injured in collision w pedl cyc in traf, init
V01.10XD@Ped on foot injured in collision w pedl cyc in traf, subs
V01.10XS@Ped on foot injured in collision w pedl cyc in traf, sequela
V01.11XA@Ped on rolr-skt injured in clsn w pedl cyc in traf, init
V01.11XD@Ped on rolr-skt injured in clsn w pedl cyc in traf, subs
V01.11XS@Ped on rolr-skt injured in clsn w pedl cyc in traf, sequela
V01.12XA@Ped on sktbrd injured in collision w pedl cyc in traf, init
V01.12XD@Ped on sktbrd injured in collision w pedl cyc in traf, subs
V01.12XS@Ped on sktbrd injured in clsn w pedl cyc in traf, sequela
V01.19XA@Ped w convey injured in collision w pedl cyc in traf, init
V01.19XD@Ped w convey injured in collision w pedl cyc in traf, subs
V01.19XS@Ped w convey injured in clsn w pedl cyc in traf, sequela
V01.90XA@Ped on foot injured in collision w pedl cyc, unsp, init
V01.90XD@Ped on foot injured in collision w pedl cyc, unsp, subs
V01.90XS@Ped on foot injured in collision w pedl cyc, unsp, sequela
V01.91XA@Ped on rolr-skt injured in collision w pedl cyc, unsp, init
V01.91XD@Ped on rolr-skt injured in collision w pedl cyc, unsp, subs
V01.91XS@Ped on rolr-skt injured in clsn w pedl cyc, unsp, sequela
V01.92XA@Ped on sktbrd injured in collision w pedl cyc, unsp, init
V01.92XD@Ped on sktbrd injured in collision w pedl cyc, unsp, subs
V01.92XS@Ped on sktbrd injured in collision w pedl cyc, unsp, sequela
V01.99XA@Ped w convey injured in collision w pedl cyc, unsp, init
V01.99XD@Ped w convey injured in collision w pedl cyc, unsp, subs
V01.99XS@Ped w convey injured in collision w pedl cyc, unsp, sequela
#
V02.00XA@Ped on foot injured in collision w 2/3-whl mv nontraf, init
V02.00XD@Ped on foot injured in collision w 2/3-whl mv nontraf, subs
V02.00XS@Ped on foot injured in clsn w 2/3-whl mv nontraf, sequela
V02.01XA@Ped on rolr-skt injured in clsn w 2/3-whl mv nontraf, init
V02.01XD@Ped on rolr-skt injured in clsn w 2/3-whl mv nontraf, subs
V02.01XS@Ped on rolr-skt inj in clsn w 2/3-whl mv nontraf, sequela
V02.02XA@Ped on sktbrd injured in clsn w 2/3-whl mv nontraf, init
V02.02XD@Ped on sktbrd injured in clsn w 2/3-whl mv nontraf, subs
V02.02XS@Ped on sktbrd injured in clsn w 2/3-whl mv nontraf, sequela
V02.09XA@Ped w convey injured in collision w 2/3-whl mv nontraf, init
V02.09XD@Ped w convey injured in collision w 2/3-whl mv nontraf, subs
V02.09XS@Ped w convey injured in clsn w 2/3-whl mv nontraf, sequela
V02.10XA@Ped on foot injured in collision w 2/3-whl mv in traf, init
V02.10XD@Ped on foot injured in collision w 2/3-whl mv in traf, subs
V02.10XS@Ped on foot injured in clsn w 2/3-whl mv in traf, sequela
V02.11XA@Ped on rolr-skt injured in clsn w 2/3-whl mv in traf, init
V02.11XD@Ped on rolr-skt injured in clsn w 2/3-whl mv in traf, subs
V02.11XS@Ped on rolr-skt inj in clsn w 2/3-whl mv in traf, sequela
V02.12XA@Ped on sktbrd injured in clsn w 2/3-whl mv in traf, init
V02.12XD@Ped on sktbrd injured in clsn w 2/3-whl mv in traf, subs
V02.12XS@Ped on sktbrd injured in clsn w 2/3-whl mv in traf, sequela
V02.19XA@Ped w convey injured in collision w 2/3-whl mv in traf, init
